"","日期","累计净值"
"1","2017-07-21","1.323"
"2","2017-07-20","1.320"
"3","2017-07-19","1.312"
"4","2017-07-18","1.300"
"5","2017-07-17","1.298"
"6","2017-07-14","1.312"
"7","2017-07-13","1.309"
"8","2017-07-12","1.309"
"9","2017-07-11","1.316"
"10","2017-07-10","1.315"
"11","2017-07-07","1.311"
"12","2017-07-06","1.314"
"13","2017-07-05","1.317"
"14","2017-07-04","1.308"
"15","2017-07-03","1.320"
"16","2017-06-30","1.318"
"17","2017-06-29","1.313"
"18","2017-06-28","1.303"
"19","2017-06-27","1.315"
"20","2017-06-26","1.312"
"21","2017-06-23","1.301"
"22","2017-06-22","1.295"
"23","2017-06-21","1.300"
"24","2017-06-20","1.285"
"25","2017-06-19","1.287"
"26","2017-06-16","1.278"
"27","2017-06-15","1.280"
"28","2017-06-14","1.280"
"29","2017-06-13","1.288"
"30","2017-06-12","1.285"
"31","2017-06-09","1.282"
"32","2017-06-08","1.277"
"33","2017-06-07","1.261"
"34","2017-06-06","1.248"
"35","2017-06-05","1.240"
"36","2017-06-02","1.238"
"37","2017-06-01","1.238"
"38","2017-05-31","1.238"
"39","2017-05-26","1.237"
"40","2017-05-25","1.238"
"41","2017-05-24","1.227"
"42","2017-05-23","1.228"
"43","2017-05-22","1.232"
"44","2017-05-19","1.230"
"45","2017-05-18","1.228"
"46","2017-05-17","1.227"
"47","2017-05-16","1.234"
"48","2017-05-15","1.220"
"49","2017-05-12","1.212"
"50","2017-05-11","1.209"
"51","2017-05-10","1.205"
"52","2017-05-09","1.213"
"53","2017-05-08","1.218"
"54","2017-05-05","1.224"
"55","2017-05-04","1.231"
"56","2017-05-03","1.229"
"57","2017-05-02","1.234"
"58","2017-04-28","1.234"
"59","2017-04-27","1.239"
"60","2017-04-26","1.243"
"61","2017-04-25","1.247"
"62","2017-04-24","1.241"
"63","2017-04-21","1.250"
"64","2017-04-20","1.247"
"65","2017-04-19","1.243"
"66","2017-04-18","1.245"
"67","2017-04-17","1.244"
"68","2017-04-14","1.242"
"69","2017-04-13","1.247"
"70","2017-04-12","1.245"
"71","2017-04-11","1.248"
"72","2017-04-10","1.247"
"73","2017-04-07","1.252"
"74","2017-04-06","1.254"
"75","2017-04-05","1.253"
"76","2017-03-31","1.246"
"77","2017-03-30","1.241"
"78","2017-03-29","1.251"
"79","2017-03-28","1.256"
"80","2017-03-27","1.260"
"81","2017-03-24","1.265"
"82","2017-03-23","1.258"
"83","2017-03-22","1.254"
"84","2017-03-21","1.250"
"85","2017-03-20","1.242"
"86","2017-03-17","1.238"
"87","2017-03-16","1.243"
"88","2017-03-15","1.242"
"89","2017-03-14","1.241"
"90","2017-03-13","1.243"
"91","2017-03-10","1.236"
"92","2017-03-09","1.234"
"93","2017-03-08","1.239"
"94","2017-03-07","1.242"
"95","2017-03-06","1.239"
"96","2017-03-03","1.234"
"97","2017-03-02","1.232"
"98","2017-03-01","1.235"
"99","2017-02-28","1.235"
"100","2017-02-27","1.234"
"101","2017-02-24","1.240"
"102","2017-02-23","1.244"
"103","2017-02-22","1.241"
"104","2017-02-21","1.236"
"105","2017-02-20","1.232"
"106","2017-02-17","1.218"
"107","2017-02-16","1.218"
"108","2017-02-15","1.211"
"109","2017-02-14","1.216"
"110","2017-02-13","1.220"
"111","2017-02-10","1.208"
"112","2017-02-09","1.207"
"113","2017-02-08","1.205"
"114","2017-02-07","1.201"
"115","2017-02-06","1.206"
"116","2017-02-03","1.205"
"117","2017-01-26","1.207"
"118","2017-01-25","1.202"
"119","2017-01-24","1.197"
"120","2017-01-23","1.194"
"121","2017-01-20","1.191"
"122","2017-01-19","1.183"
"123","2017-01-18","1.187"
"124","2017-01-17","1.181"
"125","2017-01-16","1.173"
"126","2017-01-13","1.178"
"127","2017-01-12","1.183"
"128","2017-01-11","1.191"
"129","2017-01-10","1.195"
"130","2017-01-09","1.194"
"131","2017-01-06","1.189"
"132","2017-01-05","1.195"
"133","2017-01-04","1.195"
"134","2017-01-03","1.187"
"135","2016-12-30","1.181"
"136","2016-12-29","1.174"
"137","2016-12-28","1.176"
"138","2016-12-27","1.176"
"139","2016-12-26","1.176"
"140","2016-12-23","1.174"
"141","2016-12-22","1.180"
"142","2016-12-21","1.176"
"143","2016-12-20","1.170"
"144","2016-12-19","1.175"
"145","2016-12-16","1.177"
"146","2016-12-15","1.172"
"147","2016-12-14","1.178"
"148","2016-12-13","1.182"
"149","2016-12-12","1.179"
"150","2016-12-09","1.203"
"151","2016-12-08","1.189"
"152","2016-12-07","1.192"
"153","2016-12-06","1.183"
"154","2016-12-05","1.178"
"155","2016-12-02","1.195"
"156","2016-12-01","1.215"
"157","2016-11-30","1.201"
"158","2016-11-29","1.207"
"159","2016-11-28","1.195"
"160","2016-11-25","1.191"
"161","2016-11-24","1.185"
"162","2016-11-23","1.174"
"163","2016-11-22","1.168"
"164","2016-11-21","1.161"
"165","2016-11-18","1.162"
"166","2016-11-17","1.165"
"167","2016-11-16","1.161"
"168","2016-11-15","1.162"
"169","2016-11-14","1.153"
"170","2016-11-11","1.155"
"171","2016-11-10","1.156"
"172","2016-11-09","1.147"
"173","2016-11-08","1.157"
"174","2016-11-07","1.153"
"175","2016-11-04","1.157"
"176","2016-11-03","1.154"
"177","2016-11-02","1.150"
"178","2016-11-01","1.155"
"179","2016-10-31","1.149"
"180","2016-10-28","1.147"
"181","2016-10-27","1.154"
"182","2016-10-26","1.159"
"183","2016-10-25","1.155"
"184","2016-10-24","1.154"
"185","2016-10-21","1.150"
"186","2016-10-20","1.150"
"187","2016-10-19","1.150"
"188","2016-10-18","1.153"
"189","2016-10-17","1.143"
"190","2016-10-14","1.148"
"191","2016-10-13","1.148"
"192","2016-10-12","1.146"
"193","2016-10-11","1.144"
"194","2016-10-10","1.140"
"195","2016-09-30","1.125"
"196","2016-09-29","1.121"
"197","2016-09-28","1.119"
"198","2016-09-27","1.119"
"199","2016-09-26","1.116"
"200","2016-09-23","1.125"
"201","2016-09-22","1.126"
"202","2016-09-21","1.123"
"203","2016-09-20","1.124"
"204","2016-09-19","1.125"
"205","2016-09-14","1.118"
"206","2016-09-13","1.121"
"207","2016-09-12","1.118"
"208","2016-09-09","1.130"
"209","2016-09-08","1.132"
"210","2016-09-07","1.134"
"211","2016-09-06","1.136"
"212","2016-09-05","1.115"
"213","2016-09-02","1.112"
"214","2016-09-01","1.118"
"215","2016-08-31","1.122"
"216","2016-08-30","1.121"
"217","2016-08-29","1.124"
"218","2016-08-26","1.130"
"219","2016-08-25","1.124"
"220","2016-08-24","1.130"
"221","2016-08-23","1.130"
"222","2016-08-22","1.125"
"223","2016-08-19","1.127"
"224","2016-08-18","1.129"
"225","2016-08-17","1.136"
"226","2016-08-16","1.134"
"227","2016-08-15","1.134"
"228","2016-08-12","1.118"
"229","2016-08-11","1.110"
"230","2016-08-10","1.119"
"231","2016-08-09","1.122"
"232","2016-08-08","1.110"
"233","2016-08-05","1.100"
"234","2016-08-04","1.109"
"235","2016-08-03","1.107"
"236","2016-08-02","1.103"
"237","2016-08-01","1.099"
"238","2016-07-29","1.115"
"239","2016-07-28","1.113"
"240","2016-07-27","1.098"
"241","2016-07-26","1.121"
"242","2016-07-25","1.104"
"243","2016-07-22","1.101"
"244","2016-07-21","1.110"
"245","2016-07-20","1.103"
"246","2016-07-19","1.103"
"247","2016-07-18","1.111"
"248","2016-07-15","1.116"
"249","2016-07-14","1.111"
"250","2016-07-13","1.109"
"251","2016-07-12","1.108"
"252","2016-07-11","1.088"
"253","2016-07-08","1.084"
"254","2016-07-07","1.088"
"255","2016-07-06","1.084"
"256","2016-07-05","1.069"
"257","2016-07-04","1.067"
"258","2016-07-01","1.052"
"259","2016-06-30","1.048"
"260","2016-06-29","1.047"
"261","2016-06-28","1.045"
"262","2016-06-27","1.038"
"263","2016-06-24","1.024"
"264","2016-06-23","1.034"
"265","2016-06-22","1.039"
"266","2016-06-21","1.032"
"267","2016-06-20","1.037"
"268","2016-06-17","1.033"
"269","2016-06-16","1.030"
"270","2016-06-15","1.032"
"271","2016-06-14","1.014"
"272","2016-06-13","1.008"
"273","2016-06-08","1.031"
"274","2016-06-07","1.031"
"275","2016-06-06","1.028"
"276","2016-06-03","1.024"
"277","2016-06-02","1.013"
"278","2016-06-01","1.010"
"279","2016-05-31","1.010"
"280","2016-05-30","0.987"
"281","2016-05-27","0.989"
"282","2016-05-26","0.989"
"283","2016-05-25","0.989"
"284","2016-05-24","0.993"
"285","2016-05-23","0.999"
"286","2016-05-20","0.998"
"287","2016-05-19","0.992"
"288","2016-05-18","0.992"
"289","2016-05-17","1.003"
"290","2016-05-16","1.007"
"291","2016-05-13","0.993"
"292","2016-05-12","0.997"
"293","2016-05-11","0.993"
"294","2016-05-10","0.987"
"295","2016-05-09","0.983"
"296","2016-05-06","0.999"
"297","2016-05-05","1.025"
"298","2016-05-04","1.021"
"299","2016-05-03","1.023"
"300","2016-04-29","1.004"
"301","2016-04-28","0.998"
"302","2016-04-27","0.996"
"303","2016-04-26","0.997"
