,dongfanghong,huobi,hushen300,zhongzheng500,zhongzheng800,shenzhenghongli
 2015/07/31,1,0.03,3816.7,7727.06,4501.57,6065.75
 2015/08/31,0.989,0.03,3366.54,6581.31,3929.9,5351.15
 2015/09/30,0.982,0.03,3202.95,6123.73,3714.97,4898.46
 2015/10/30,1.024,0.03,3534.08,7084.97,4156.09,5453.81
 2015/11/30,1.02,0.03,3566.41,7408.4,4239.11,5577.16
 2015/12/31,1.09,0.03,3731,7617.69,4411.98,6535.61
 2016/01/29,0.939,0.027,2946.09,5469.13,3387.11,5307.8
 2016/02/29,0.915,0.027,2877.47,5350.43,3309.76,5185.05
 2016/03/31,1.01,0.027,3218.09,6155.81,3731.98,5794.18
 2016/04/29,1.004,0.027,3156.75,5985.59,3651.55,5684
 2016/05/31,1.01,0.027,3169.56,5947.32,3655.33,5724.82
 2016/06/30,1.048,0.024,3153.92,6123.49,3674.23,5849.18
 2016/07/29,1.115,0.024,3203.93,6202.89,3729.26,5796.31
 2016/08/31,1.122,0.024,3327.79,6434.21,3871.89,6157.77
 2016/09/30,1.125,0.024,3253.28,6328.09,3792.11,6207.86
 2016/10/31,1.149,0.024,3336.28,6452.21,3882.04,6252.31
 2016/11/30,1.201,0.024,3538,6585.58,4069.92,6772.15
 2016/12/30,1.181,0.024,3310.08,6263.63,3826.47,6103.42
 2017/01/26,1.207,0.027,3387.96,6223.71,3882.22,6270.61
 2017/02/28,1.235,0.027,3452.81,6450.97,3976.33,6563.39
 2017/03/31,1.246,0.03,3456.05,6401.65,3969.92,6763.17
 2017/04/28,1.234,0.03,3439.75,6211.86,3921.97,6795.37
 2017/05/31,1.238,0.03,3492.88,5824.1,3893.98,6952.52
 2017/06/30,1.318,0.03,3667,6138.16,4092.3,7685.5
 2017/07/31,1.332,0.03,3738,6298,4179.18,7648.32
 2017/08/31,1.347,0.03,3822,6470.43,4278.99,7675.66
 2017/09/15,1.368,0.03,3831,6622,4314,7883
